Codigo;Descripcion;Color;Talla;Departamento;Referencia;Marca;Costo;Precio Maximo;Precio Oferta;Precio Mayor;Precio Minimo
;;CARAMEL/KHAKI;;;;;6,9;14;13;12;12
;;CHARCOAL/BLACK;;;;;6,9;14;13;12;12
;;CHARCOAL/WHITE;;;;;6,9;14;13;12;12
;;COYOTE BROWN/BLACK;;;;;6,9;14;13;12;12
;;COYOTE BROWN/KHAKI;;;;;6,9;14;13;12;12
;;HEATHER/BLACK;;;;;6,9;14;13;12;12
;;HEATHER/WHITE;;;;;6,9;14;13;12;12
;;MELANGE CHARCOAL/BLACK;;;;;6,9;14;13;12;12
;;MELANGE SILVER/WHITE;;;;;6,9;14;13;12;12
;;NAVY/WHITE;;;;;6,9;14;13;12;12
;;OLIVE/KHAKI;;;;;6,9;14;13;12;12
;;RED/WHITE;;;;;6,9;14;13;12;12
;;ROYAL/WHITE;;;;;6,9;14;13;12;12
050105;GORRA FLEXFIT UNIPANEL MALLA;BLACK;S/M  Y  L/XL;GORRAS;GORRA YUPOONG FLEXFIT DE MALLA CERRADA;FLEXFIT;7,3;17;16;14;12
;;BLACK/WHITE;;;;;7,3;17;16;14;12
;;CHARCOAL;;;;;7,3;17;16;14;12
;;CHARCOAL/WHITE;;;;;7,3;17;16;14;12
;;MLG DK GREY;;;;;7,3;17;16;14;12
;;MLG DK GREY/BLACK;;;;;7,3;17;16;14;12
;;MLG HEATER/WHITE;;;;;7,3;17;16;14;12
;;MLG NAVY;;;;;7,3;17;16;14;12
;;MLG NAVY/WHITE;;;;;7,3;17;16;14;12
;;MLG OLIVE;;;;;7,3;17;16;14;12
;;TRUE NAVY;;;;;7,3;17;16;14;12
;;TRUE NAVY/WHITE;;;;;7,3;17;16;14;12
050201;GORRA ACRILICA GENERICA;AZUL MARINO;AJUSTABLE;GORRAS;AJUSTABLE, CIERRE MAGICO, BROCHE CAIMAN O BROCHE SNAPBACK;GENERICA;1,85;6;5;4;3
;;AZUL REY;;;;;1,85;6;5;4;3
;;BEIGE;;;;;1,85;6;5;4;3
;;BLANCO;;;;;1,85;6;5;4;3
;;GRIS CLARO;;;;;1,85;6;5;4;3
;;GRIS MEDIO;;;;;1,85;6;5;4;3
;;GRIS OSCURO;;;;;1,85;6;5;4;3
;;NEGRO;;;;;1,85;6;5;4;3
40110;PANTALON JEAN SEGURIDAD CABALLERO 26-36;AZUL MARINO;26;PANTALON;JEAN 13.50 oz TRIPLE COSTURA INTERNA;NAJUL;9,5;15;14;13;12
;;;28;;;;9,5;15;14;13;12
;;;30;;;;9,5;15;14;13;12
;;;32;;;;9,5;15;14;13;12
;;;34;;;;9,5;15;14;13;12
;;;36;;;;9,5;15;14;13;12
40111;PANTALON JEAN SEGURIDAD CABALLERO 38-44;AZUL MARINO;38;PANTALON;JEAN 13.50 oz TRIPLE COSTURA INTERNA;NAJUL;10,5;16,2;15,4;14,2;13,7
;;;40;;;;10,5;16,2;15,4;14,2;13,7
;;;42;;;;10,5;16,2;15,4;14,2;13,7
;;;44;;;;10,5;16,2;15,4;14,2;13,7
40112;PANTALON JEAN SEGURIDAD DAMA 26-36;AZUL MARINO;26;PANTALON;JEAN 11 oz COSTURA REFORZADA;NAJUL;10;16;14,8;13,5;12,6
;;;28;;;;10;16;14,8;13,5;12,6
;;;30;;;;10;16;14,8;13,5;12,6
;;;32;;;;10;16;14,8;13,5;12,6
;;;34;;;;10;16;14,8;13,5;12,6
;;;36;;;;10;16;14,8;13,5;12,6
40112;PANTALON JEAN DE SEGURIDAD DAMA 38-44;AZUL MARINO;38;PANTALON;JEAN 11 oz COSTURA REFORZADA;NAJUL;11;17;16,2;15,4;14,2
;;;40;;;;11;17;16,2;15,4;14,2
;;;42;;;;11;17;16,2;15,4;14,2
;;;44;;;;11;17;16,2;15,4;14,2
S010101;CAMISA CLASICA UNIOFFICE BORDADA SS-XL;BLANCO;SS/EP;PRODUCTOS FABRICADOS;;NAJUL;9,04;18,5;17;16,5;16
;;BEIGE;S/P;;;;;;;;
;;GRIS;M/M;;;;;;;;
;;GRIS TITANIUM;L/G;;;;;;;;
;;AZUL TRAMAS;XL/EG;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;AZUL TURQUESA;;;;;;;;;
;;AZUL MARINO;;;;;;;;;
;;AZUL CHAMBRAY;;;;;;;;;
;;NARANJA;;;;;;;;;
;;ROJO;;;;;;;;;
;;VERDE AGUA;;;;;;;;;
;;VERDE;;;;;;;;;
S010102;CAMISA CLASICA UNIOFFICE BORDADA 2XL - 5XL;BLANCO;2XL/2EG;PRODUCTOS FABRICADOS;;NAJUL;9,9;20,5;18,9;18,4;17,8
;;BEIGE;3XL/3EG;;;;;;;;
;;GRIS;4XL/4EG;;;;;;;;
;;GRIS TITANIUM;5XL/5EG;;;;;;;;
;;AZUL TRAMAS;;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;AZUL TURQUESA;;;;;;;;;
;;AZUL MARINO;;;;;;;;;
;;AZUL CHAMBRAY;;;;;;;;;
;;NARANJA;;;;;;;;;
;;ROJO;;;;;;;;;
;;VERDE AGUA;;;;;;;;;
;;VERDE;;;;;;;;;
S010103;CAMISA CLASICA UNIOFFICE BORDADA NIÑO;BLANCO;2;PRODUCTOS FABRICADOS;;NAJUL;8,4;18;16,4;15,9;15,4
;;BEIGE;4;;;;;;;;
;;GRIS;6;;;;;;;;
;;GRIS TITANIUM;8;;;;;;;;
;;AZUL TRAMAS;10;;;;;;;;
;;AZUL CELESTE;12;;;;;;;;
;;AZUL TURQUESA;14;;;;;;;;
;;AZUL MARINO;16;;;;;;;;
;;AZUL CHAMBRAY;;;;;;;;;
;;NARANJA;;;;;;;;;
;;ROJO;;;;;;;;;
;;VERDE AGUA;;;;;;;;;
;;VERDE;;;;;;;;;
S010104;CAMISA CLASICA  ALGODON EGIPCIO BORDADA SS-XL;BLANCO;SS/EP;PRODUCTOS FABRICADOS;;NAJUL;8,09;17;15,6;15,1;14,6
;;NEGRO;S/P;;;;;;;;
;;AZUL MARINO;M/M;;;;;;;;
;;AZUL REY;L/G;;;;;;;;
;;AZUL CELESTE;XL/EG;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010105;CAMISA CLASICA ALGODON EGIPCIO BORDADA 2XL-5XL;BLANCO;2XL/2EG;PRODUCTOS FABRICADOS;;NAJUL;8,81;18,5;17;16,4;15,8
;;NEGRO;3XL/3EG;;;;;;;;
;;AZUL MARINO;4XL/4EG;;;;;;;;
;;AZUL REY;5XL/5EG;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010106;CAMISA CLASICA ALGODÓN EGIPCIO BORDADA NIÑO;BLANCO;2;PRODUCTOS FABRICADOS;;NAJUL;7,7;16;15;14,6;14,2
;;NEGRO;4;;;;;;;;
