4ZB83A#BGJ;HP IMPRESORA MULTIFUNCIONAL LASER M135W MONOCROMÁTICA;2;;$ 203,00;$ 263,90;;$ 406,00;;
4ZB84A#BGJ;HP IMPRESORA MULTIFUNCIONAL LASER 137FNW MONOCROMÁTICA;2;;$ 260,00;$ 338,00;;$ 520,00;;
9YG09A;HP IMPRESORA MULTIFUNCIONAL LASERJET PRO M236SDW MONOCROMÁTICA;2;;$ 250,00;$ 325,00;;$ 500,00;;
G3Q75A#BGJ;HP IMPRESORA  MULTIFUNCIONAL LASERJET M227FDW MONOCROMÁTICA;2;;$ 350,00;$ 455,00;;$ 700,00;;
W1A77A;HP IMPRESORA MULTIFUNCIONAL COLOR LASERJET PRO M479DW;2;;$ 655,00;$ 851,50;;$ 1.310,00;;
C11CJ68303;EPSON IMPRESORA MULTIFUNCIONAL 3 EN 1 ECOTANK L3210  COLOR;2;;$ 209,00;$ 271,70;;$ 418,00;;
TSB89104US;"TARGUS MORRAL SPORT 15.6""";2;;$ 20,00;$ 26,00;;$ 40,00;;
TSB968GL ;TARGUS MORRAL INTELLECT ADVANCED  15.6”;2;;$ 23,00;$ 29,90;;$ 46,00;;
TSB966GL;"TARGUS MORRAL INTELLECT ESSENCUALS 15.6""";2;;$ 16,00;$ 20,80;;$ 32,00;;
TSB194US;"TARGUS MORRAL MOTOR 16""                                                                        ";2;;$ 27,00;$ 35,10;;$ 54,00;;
CVR617;"TARGUS MORRAL GROOVE 17""";2;;$ 32,00;$ 41,60;;$ 64,00;;
TSB226LA;"TARGUS MORRAL TERRA 15.6"" ";2;;$ 38,00;$ 49,40;;$ 76,00;;
TBB595GL;"TARGUS MORRAL URBAN CONVERTIBLE 15.6"" ";2;;$ 49,00;$ 63,70;;$ 98,00;;
TSB96201GL;TARGUS MORRAL GEOLITE ADVANCED  15.6” ;2;;$ 40,00;$ 52,00;;$ 80,00;;
TBT053US;"TARGUS MALETÍN CITYLITE 15.6"" NEGRO ";2;;$ 50,00;$ 65,00;;$ 100,00;;
CVR217;"TARGUS MALETÍN SLIPCASE 17"" NEGRO/AZUL";2;;$ 23,67;$ 30,77;;$ 47,33;;
TSS913;"TARGUS FUNDA VERTICAL CON AGARRADERAS 14""";2;;$ 20,00;$ 26,00;;$ 40,00;;
TSS63204US;TARGUS FUNDA STRATA SLIPCASE 15.6;2;;$ 16,00;$ 20,80;;$ 32,00;;
TBS93004GL;"TARGUS FUNDA STRATA III 14"" GRIS";2;;$ 18,77;$ 24,40;;$ 37,54;;
KNC-040;"KLIP XTREME MALETÍN CLASSIC LITE 15.6""";2;;$ 17,68;$ 22,98;;$ 35,36;;
KNB-575;"KLIP XTREME MORRAL TUNDRA 15.6"" ";2;;$ 21,38;$ 27,79;;$ 42,76;;
KNS-220GR;"KLIP XTREME FUNDA SQUARESHIELD 15.6"" GRIS";2;;$ 8,44;$ 10,97;;$ 16,88;;
KNS-120BL;"KLIP XTREME FUNDA SLEEVE 15.6"" AZUL";2;;$ 7,98;$ 10,37;;$ 15,96;;
TD-W9970;TP-LINK MODEM ROUTER VDSL ADSL2 USB;2;;$ 47,50;$ 61,75;;$ 95,00;;
TD-W9960;TP-LINK MODEM ROUTER VDSL ADSL2+ 300MBPS N ;2;;$ 41,67;$ 54,17;;$ 83,34;;
MW300D;MERCUSYS MODEM ROUTER  INALMBRICO ADSL 300 MBPS;2;;$ 26,50;$ 34,45;;$ 53,00;;
HG-A1101;MODEM EXPLORER ADSL2+HG-A1101;2;;$ 16,00;$ 20,80;;$ 32,00;;
AMU80US;TARGUS MOUSE ÓPTICO ALÁMBRICO 3 BOTONES ;4;;$ 7,00;$ 9,10;;$ 28,00;;
AMU81USZ;TARGUS MOUSE ÓPTICO SIZE ALÁMBRICO 3 BOTONES;4;;$ 6,47;$ 8,41;;$ 25,88;;
AMW50US;TARGUS MOUSE INALÁMBRICO AZUL;4;;$ 12,00;$ 15,60;;$ 48,00;;
XTM-310BK;XTECH MOUSE INALÁMBRICO 4 BOTONES GALOS NEGRO;4;;$ 5,59;$ 7,27;;$ 22,36;;
